investor,organization,Api Url,Description,Rank
Tuesday Capital,churchkey-can-co,https://api.crunchbase.com/v3.1/organizations/churchkey-can-co,,347680
Tuesday Capital,if-this-then-that,https://api.crunchbase.com/v3.1/organizations/if-this-then-that,,1403
Tuesday Capital,famo-us,https://api.crunchbase.com/v3.1/organizations/famo-us,,4696
Tuesday Capital,uber,https://api.crunchbase.com/v3.1/organizations/uber,,42
Tuesday Capital,punchtab,https://api.crunchbase.com/v3.1/organizations/punchtab,,27341
Tuesday Capital,mailbox,https://api.crunchbase.com/v3.1/organizations/mailbox,,25645
Tuesday Capital,clipboard,https://api.crunchbase.com/v3.1/organizations/clipboard,,140610
Tuesday Capital,youmail,https://api.crunchbase.com/v3.1/organizations/youmail,,12968
Tuesday Capital,gogobot,https://api.crunchbase.com/v3.1/organizations/gogobot,,6588
Tuesday Capital,codecademy,https://api.crunchbase.com/v3.1/organizations/codecademy,,2847
Tuesday Capital,zaarly,https://api.crunchbase.com/v3.1/organizations/zaarly,,8451
Tuesday Capital,inspirato,https://api.crunchbase.com/v3.1/organizations/inspirato,,3380
Tuesday Capital,nsfw-corporation,https://api.crunchbase.com/v3.1/organizations/nsfw-corporation,,61218
Tuesday Capital,shaker,https://api.crunchbase.com/v3.1/organizations/shaker,,32507
Tuesday Capital,origami-labs,https://api.crunchbase.com/v3.1/organizations/origami-labs,,23398
Tuesday Capital,flowdock,https://api.crunchbase.com/v3.1/organizations/flowdock,,46029
Tuesday Capital,tumblr,https://api.crunchbase.com/v3.1/organizations/tumblr,,4720
Tuesday Capital,getaround,https://api.crunchbase.com/v3.1/organizations/getaround,,144
Tuesday Capital,prism-skylabs,https://api.crunchbase.com/v3.1/organizations/prism-skylabs,,9622
Tuesday Capital,socialware,https://api.crunchbase.com/v3.1/organizations/socialware,,25263
Tuesday Capital,gopollgo,https://api.crunchbase.com/v3.1/organizations/gopollgo,,100678
Tuesday Capital,lascaux-co,https://api.crunchbase.com/v3.1/organizations/lascaux-co,,53946
Tuesday Capital,foursquare,https://api.crunchbase.com/v3.1/organizations/foursquare,,1601
Tuesday Capital,realm-2,https://api.crunchbase.com/v3.1/organizations/realm-2,,6196
Tuesday Capital,milk,https://api.crunchbase.com/v3.1/organizations/milk,,21395
Tuesday Capital,path,https://api.crunchbase.com/v3.1/organizations/path,,5694
Tuesday Capital,karma,https://api.crunchbase.com/v3.1/organizations/karma,,44086
Tuesday Capital,wavii,https://api.crunchbase.com/v3.1/organizations/wavii,,50406
