Organization Name,number of unique orgs,number of investments
autodesk,34,39
worldview-technology-partners,63,134
access-industries,39,54
quest-venture-partners,48,76
tribeca-venture-partners,50,97
time-warner-investments,59,91
universal-music-group,26,32
qualcomm-ventures,229,340
founders-co-op,88,115
i2e,30,34
chase-capital-partners,82,91
interwest-partners,192,405
tpg-growth,74,89
innovation-works,200,339
ibm,29,30
queen-city-angels,31,41
rpm-ventures,38,69
mercury-fund,56,137
illinois-ventures,32,43
north-atlantic-capital,28,34
launchpad-venture-group,40,55
ggv-capital,284,478
edison-ventures,135,203
ge-equity,75,83
hillsven-capital,25,41
oracle,33,39
idealab,67,85
dell,27,29
voyager-capital,78,143
ftventures,30,34
walden-international,126,199
y-combinator,2006,2397
amicus-capital,82,105
intersouth-partners,71,158
d-e-shaw-co,29,42
mhs-capital,31,51
new-york-city-investment-fund,32,42
general-electric,31,41
motorola-solutions,42,45
el-dorado-ventures,57,118
covera-ventures,32,51
rustic-canyon-partners,60,99
scale-venture-partners,116,217
square-1-bank,101,107
hummer-winblad-venture-partners,92,205
mitsui-ventures,105,138
general-catalyst-partners,347,644
sofinnova-ventures,126,214
blue-chip-venture-company,47,61
tech-coast-angels,393,462
newbury-ventures,31,46
intel-capital,896,1312
the-aurora-funds,34,61
chrysalis-ventures,37,68
storm-ventures,107,199
wheatley-partners,42,53
intel,51,58
cardinal-venture-capital,26,54
ridgewood-capital,26,43
ampersand-ventures,29,40
gefinor-capital,26,35
the-carlyle-group,163,213
translink-capital,66,112
ktb-ventures,34,41
national-science-foundation,205,269
newyorktimes,27,32
index-ventures,417,737
connecticut-innovations,145,197
fuse-capital,35,47
foundry-group,155,289
pritzker-group-venture-capital,140,203
softtech-vc,181,296
new-atlantic-ventures,54,89
merus-capital,36,55
wr-hambrecht,27,29
harbinger-ventures,25,35
nexus-venture-partners,104,200
highway-12-ventures,25,44
northgate-capital,71,103
moore-capital,27,37
vanguard-ventures,29,56
granite-ventures,86,168
valor-equity-partners,29,45
paladin-capital-group,69,112
advantage-capital-partners,89,115
avalon-ventures,83,162
americanexpress,31,37
allegis-capital,54,104
bain-capital-ventures,220,370
origin-ventures,39,64
rho-canada,29,43
borealis-ventures,29,45
gabriel-venture-partners,35,59
oca-ventures,66,107
thomvest-ventures,50,88
amidzad-partners,41,44
t-rowe-price,101,138
alliance-of-angels,144,179
vspring-capital,39,65
mousse-partners,31,42
upfront-ventures,155,278
valhalla-partners,47,88
flatiron-partners,31,38
western-technology-investment,179,213
adams-capital-management,37,76
woodside-fund,28,49
flagship-ventures,90,202
ascent-venture-partners,48,83
warburg-pincus,199,279
dfj-frontier,50,82
morgan-stanley,126,140
sierra-ventures,151,303
neocarta-ventures,32,56
altos-ventures,93,175
claremont-creek-ventures,33,75
grandbanks-capital,32,68
openview-venture-partners,51,90
ascend-venture-group,26,41
band-of-angels,80,102
ben-franklin-technology-partners-of-northeast-pennsylvania,106,184
milestone-venture-partners,37,58
split-rock-partners,53,94
adams-street-partners,105,172
comcast-interactive-capital,192,284
revolution,81,116
francisco-partners,37,42
panorama-capital,27,42
crescendo-ventures,59,112
amerindo-investment-advisors,54,60
jmi-equity,86,120
jk-b-capital,58,104
felicis-ventures,266,402
dcm,249,460
palomar-ventures,45,94
easton-capital,38,58
novel-tmt-ventures,37,50
epic-ventures,72,131
rembrant-venture-partners,61,134
longworth-venture-partners,52,96
focus-ventures,95,134
commonwealth-capital-ventures,54,102
fairhaven-capital-partners,36,61
406-ventures,53,115
greycroft,274,457
tugboat-ventures,25,36
benhamou-global-ventures,46,57
providence-equity-partners,37,44
artiman-ventures,50,89
new-york-angels,106,141
ata-ventures,44,92
circleup,59,72
new-markets-venture-partners,28,41
in-q-tel,138,180
slater-technology-fund,32,42
advanced-technology-ventures,116,239
kodiak-venture-partners,61,134
new-enterprise-associates,810,1565
comdisco-ventures,66,73
core-capital-partners,45,84
at-t,33,39
enterprise-partners,52,116
abs-ventures,49,81
updata-partners,49,69
ta-associates,106,115
stripes-group,39,52
spectrum-equity-investors,75,93
matrix-partners,276,522
technology-crossover-ventures,271,340
polaris-partners,247,509
rre-ventures,257,471
dag-ventures,139,245
sun-microsystems,38,41
oak-investment-partners,202,384
morgenthaler-ventures,128,285
mentortech-ventures,25,42
north-bridge-venture-partners,181,409
draper-richards,44,67
the-entrepreneurs-fund-iii,27,40
transcosmos,52,63
shasta-ventures,171,321
shea-ventures,44,59
azure-capital-partners,75,133
aol,32,34
maverick-ventures,72,120
brookside-capital,33,45
point-judith-capital,46,74
castile-ventures,25,44
canaan-partners,288,568
citigroup,64,71
qualcomm,65,83
alloy-ventures,80,171
onset-ventures,56,129
venrock,290,602
e-ventures,157,277
prism-venture-management,71,144
emergence-capital-partners,78,164
bezos-expeditions,40,63
harbourvest-partners,80,107
bay-partners,96,171
garage-technology-ventures,47,65
red-rock-ventures,29,52
bev-capital,26,35
vulcan-capital,106,158
capital-group,34,35
allen-and-company,112,140
battery-ventures,341,652
menlo-ventures,285,574
keiretsu-forum,105,114
commonangels,70,149
vantagepoint-capital-partners,155,262
tudor-investments,40,47
novitas-capital,27,39
novak-biddle-venture-partners,59,117
second-avenue-partners,25,42
